"SA_GUID__1","householdsTotal","noHeating","noRenewableEnergyHouses","yearBuilt","mobHome","unoccupiedDwellings","oneParent","onePerson","noCar","noInternet","priWater","familyUnits"
"4c07d11d-f682-851d-e053-ca3ca8c0ca7f",55,0,47,13,2,24,7,27,13,14,0,4
"4c07d11d-f68d-851d-e053-ca3ca8c0ca7f",95,1,58,23,2,26,9,26,2,21,51,12
"4c07d11d-f697-851d-e053-ca3ca8c0ca7f",65,2,34,19,0,11,6,14,4,10,56,10
"4c07d11d-f6a0-851d-e053-ca3ca8c0ca7f",105,0,51,31,0,13,6,16,3,15,90,23
"4c07d11d-f6a1-851d-e053-ca3ca8c0ca7f",147,0,77,33,0,10,15,18,6,20,122,24
"4c07d11d-f6ad-851d-e053-ca3ca8c0ca7f",92,1,62,18,1,11,7,14,1,17,89,14
"4c07d11d-f6b5-851d-e053-ca3ca8c0ca7f",81,0,49,21,0,19,3,9,3,7,56,9
"4c07d11d-f6be-851d-e053-ca3ca8c0ca7f",61,3,22,22,3,23,3,28,0,7,58,3
"4c07d11d-f6c8-851d-e053-ca3ca8c0ca7f",117,3,54,26,3,25,11,27,5,13,76,21
"4c07d11d-f6d3-851d-e053-ca3ca8c0ca7f",144,5,75,49,1,34,10,26,5,11,113,22
"4c07d11d-f6e6-851d-e053-ca3ca8c0ca7f",65,1,20,7,0,13,7,13,1,7,61,10
"4c07d11d-f6ec-851d-e053-ca3ca8c0ca7f",62,1,31,17,1,9,3,18,3,9,57,3
"4c07d11d-f6f5-851d-e053-ca3ca8c0ca7f",94,2,65,31,0,1,7,14,0,4,74,11
"4c07d11d-f6fa-851d-e053-ca3ca8c0ca7f",91,1,48,31,1,10,8,16,2,9,82,15
"4c07d11d-f6fe-851d-e053-ca3ca8c0ca7f",163,0,90,36,1,27,12,26,5,15,51,20
"4c07d11d-f704-851d-e053-ca3ca8c0ca7f",127,3,58,35,0,11,13,26,2,17,107,24
"4c07d11d-f709-851d-e053-ca3ca8c0ca7f",91,2,46,22,1,7,8,20,1,14,65,12
"4c07d11d-f71e-851d-e053-ca3ca8c0ca7f",115,6,68,35,0,20,10,18,5,10,50,20
"4c07d11d-f74c-851d-e053-ca3ca8c0ca7f",132,3,85,27,0,15,6,26,8,14,4,15
"4c07d11d-f762-851d-e053-ca3ca8c0ca7f",82,1,41,23,2,37,5,31,2,11,62,3
"4c07d11d-f76f-851d-e053-ca3ca8c0ca7f",89,1,43,18,0,24,9,23,3,6,62,14
"4c07d11d-f776-851d-e053-ca3ca8c0ca7f",21,1,14,2,0,11,2,5,2,10,19,4
"4c07d11d-f793-851d-e053-ca3ca8c0ca7f",118,0,84,18,0,12,10,26,4,7,42,14
"4c07d11d-f794-851d-e053-ca3ca8c0ca7f",132,2,87,15,0,22,10,20,3,13,108,24
"4c07d11d-f7ac-851d-e053-ca3ca8c0ca7f",101,0,70,9,0,14,5,18,7,12,17,23
"4c07d11d-f7b2-851d-e053-ca3ca8c0ca7f",90,4,56,37,1,14,8,20,5,18,63,12
"4c07d11d-f7b3-851d-e053-ca3ca8c0ca7f",125,3,74,40,0,19,6,32,8,21,49,8
"4c07d11d-f7c2-851d-e053-ca3ca8c0ca7f",58,0,37,17,0,13,8,11,1,9,35,7
"4c07d11d-f7d6-851d-e053-ca3ca8c0ca7f",39,2,24,6,0,84,2,11,2,4,6,6
"4c07d11d-f7e4-851d-e053-ca3ca8c0ca7f",55,1,30,12,1,57,2,22,1,13,2,7
"4c07d11d-f7f9-851d-e053-ca3ca8c0ca7f",130,1,69,16,1,8,10,15,1,4,113,22
"4c07d11d-f80d-851d-e053-ca3ca8c0ca7f",95,5,42,27,3,18,7,25,2,20,73,10
"4c07d11d-f833-851d-e053-ca3ca8c0ca7f",85,1,55,14,0,14,9,15,2,12,34,13
